ACC_NUM,JETZ_NEW,RED_LIST_JETZ.2017.,NOTES,GENE,NUM_BP,NEW_NAME_PHYLO,ORDER,OscSubOsc,FAMILY
AF129227.1,Acanthiza iredalei,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129228.1,Acanthiza iredalei,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129229.1,Acanthiza iredalei,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129230.1,Acanthiza katherina,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129231.1,Acanthiza katherina,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
KC923910.1,Acanthiza katherina,LC,"",cytochrome b,837,,PASSERIFORMES,Passeri,Acanthizidae
AF129232.1,Acanthiza lineata,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129233.1,Acanthiza lineata,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129236.1,Acanthiza murina,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129234.1,Acanthiza nana,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129235.1,Acanthiza nana,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
KY994589.1,Acanthiza nana,LC,"",cytochrome b,16859,,PASSERIFORMES,Passeri,Acanthizidae
KY994614.1,Acanthiza nana,LC,"",cytochrome b,16855,,PASSERIFORMES,Passeri,Acanthizidae
AF129237.1,Acanthiza pusilla,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129238.1,Acanthiza pusilla,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
JN614867.1,Acanthiza pusilla,LC,"",cytochrome b,972,,PASSERIFORMES,Passeri,Acanthizidae
AF129239.1,Acanthiza reguloides,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129240.1,Acanthiza reguloides,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129241.1,Acanthiza reguloides,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129242.1,Acanthiza reguloides,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129243.1,Acanthiza robustirostris,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129244.1,Acanthiza robustirostris,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129245.1,Acanthiza uropygialis,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129246.1,Acanthiza uropygialis,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AY488331.1,Acanthorhynchus superciliosus,LC,"",cytochrome b,1044,,PASSERIFORMES,Passeri,Meliphagidae
AY488332.1,Acanthorhynchus tenuirostris,LC,"",cytochrome b,966,,PASSERIFORMES,Passeri,Meliphagidae
KC439253.1,Accipiter badius,LC,"",cytochrome b,368,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY987307.1,Accipiter bicolor,LC,"",cytochrome b,1026,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
EU583320.1,Accipiter cirrocephalus,LC,"",cytochrome b,1016,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY509637.1,Accipiter cooperii,LC,"",cytochrome b,358,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY987308.1,Accipiter cooperii,LC,"",cytochrome b,1039,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY423066.1,Accipiter gularis,LC,"",cytochrome b,1029,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
EU583322.1,Accipiter gularis,LC,"",cytochrome b,1016,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KX585864.1,Accipiter gularis,LC,"",cytochrome b,17918,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY423067.1,Accipiter nisus,LC,"",cytochrome b,1029,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KJ680300.1,Accipiter nisus,LC,"",cytochrome b,19417,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KM360148.1,Accipiter nisus,LC,"",cytochrome b,18647,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
EU583323.1,Accipiter nisus,LC,"",cytochrome b,1016,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
EU583324.1,Accipiter rufiventris,LC,"",cytochrome b,1019,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KJ680303.1,Accipiter soloensis,LC,"",cytochrome b,17900,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
U83305.1,Accipiter striatus,LC,"",cytochrome b,1143,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AY139643.1,Accipiter trivirgatus,LC,"",cytochrome b,498,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KJ699124.1,Accipiter virgatus,LC,"",cytochrome b,17952,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
KP336714.1,Accipiter virgatus,LC,"",cytochrome b,17654,,ACCIPITRIFORMES,NONPASSERIFORMES,Accipitridae
AF346938.1,Aceros cassidix,VU,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
AF346939.1,Aceros cassidix,VU,"",cytochrome b,927,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754755.1,Aceros cassidix,VU,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
AF346945.1,Aceros corrugatus,NT,"",cytochrome b,915,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
GU257916.1,Aceros corrugatus,NT,"",cytochrome b,1143,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HM755883.1,Aceros corrugatus,NT,"",cytochrome b,16150,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754756.1,Aceros corrugatus,NT,"",cytochrome b,954,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754757.1,Aceros corrugatus,NT,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
AF346946.1,Aceros corrugatus,NT,"",cytochrome b,908,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
AF346947.1,Aceros corrugatus,NT,"",cytochrome b,891,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754760.1,Aceros leucocephalus,NT,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754761.1,Aceros leucocephalus,NT,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
GU257913.1,Aceros nipalensis,VU,"",cytochrome b,1143,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
KC754763.1,Aceros nipalensis,VU,"",cytochrome b,909,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HQ834452.1,Aceros waldeni,CR,Different Name,cytochrome b,1926,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HQ834453.1,Aceros waldeni,CR,Different Name,cytochrome b,1927,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HQ834454.1,Aceros waldeni,CR,Different Name,cytochrome b,1926,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HQ834455.1,Aceros waldeni,CR,Different Name,cytochrome b,1926,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
HQ834456.1,Aceros waldeni,CR,Different Name,cytochrome b,1926,,BUCEROTIFORMES,NONPASSERIFORMES,Bucerotidae
JF810423.1,Acridotheres cristatellus,LC,"",cytochrome b,16820,,PASSERIFORMES,Passeri,Sturnidae
KJ456174.1,Acridotheres ginginianus,LC,"",cytochrome b,720,,PASSERIFORMES,Passeri,Sturnidae
FJ499017.1,Acridotheres tristis,LC,"",cytochrome b,524,,PASSERIFORMES,Passeri,Sturnidae
HQ915864.1,Acridotheres tristis,LC,"",cytochrome b,16822,,PASSERIFORMES,Passeri,Sturnidae
KC439254.1,Acridotheres tristis,LC,"",cytochrome b,424,,PASSERIFORMES,Passeri,Sturnidae
KJ456175.1,Acridotheres tristis,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sturnidae
KJ702772.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702773.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702774.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702775.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702776.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702777.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702778.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702779.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702780.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702781.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
KJ702782.1,Iole indica,LC,Different Name,cytochrome b,1143,,PASSERIFORMES,Passeri,Pycnonotidae
EF156277.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
EF156278.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
HQ844333.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,921,,PASSERIFORMES,Passeri,Sylviidae
HQ844334.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,921,,PASSERIFORMES,Passeri,Sylviidae
HQ844335.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
HQ844336.1,Acrocephalus aequinoctialis,EN,"",cytochrome b,749,,PASSERIFORMES,Passeri,Sylviidae
AJ004331.1,Acrocephalus agricola,LC,"",cytochrome b,480,,PASSERIFORMES,Passeri,Sylviidae
AJ004775.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004776.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
JN574449.1,Acrocephalus agricola,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
KR181847.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181848.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181849.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
Y15694.1,Acrocephalus agricola,LC,"",cytochrome b,480,,PASSERIFORMES,Passeri,Sylviidae
AJ004245.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004246.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004330.1,Acrocephalus agricola,LC,"",cytochrome b,480,,PASSERIFORMES,Passeri,Sylviidae
FJ883021.1,Acrocephalus agricola,LC,"",cytochrome b,359,,PASSERIFORMES,Passeri,Sylviidae
KR181850.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181851.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181871.1,Acrocephalus agricola,LC,"",cytochrome b,954,,PASSERIFORMES,Passeri,Sylviidae
KR181872.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181873.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181874.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181875.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181876.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181877.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181878.1,Acrocephalus agricola,LC,"",cytochrome b,978,,PASSERIFORMES,Passeri,Sylviidae
KR181879.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181880.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181881.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181882.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181883.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181884.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181885.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
AJ004247.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004248.1,Acrocephalus agricola,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
KR181852.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181853.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181854.1,Acrocephalus agricola,LC,"",cytochrome b,952,,PASSERIFORMES,Passeri,Sylviidae
KR181855.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181856.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181857.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181858.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181859.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181860.1,Acrocephalus agricola,LC,"",cytochrome b,948,,PASSERIFORMES,Passeri,Sylviidae
KR181861.1,Acrocephalus agricola,LC,"",cytochrome b,941,,PASSERIFORMES,Passeri,Sylviidae
KR181862.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181863.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181864.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181865.1,Acrocephalus agricola,LC,"",cytochrome b,926,,PASSERIFORMES,Passeri,Sylviidae
KR181866.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181867.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
KR181868.1,Acrocephalus agricola,LC,"",cytochrome b,941,,PASSERIFORMES,Passeri,Sylviidae
KR181869.1,Acrocephalus agricola,LC,"",cytochrome b,941,,PASSERIFORMES,Passeri,Sylviidae
KR181870.1,Acrocephalus agricola,LC,"",cytochrome b,991,,PASSERIFORMES,Passeri,Sylviidae
AJ004252.1,Acrocephalus arundinaceus,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004253.1,Acrocephalus arundinaceus,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AJ004332.1,Acrocephalus arundinaceus,LC,"",cytochrome b,480,,PASSERIFORMES,Passeri,Sylviidae
AJ004333.1,Acrocephalus arundinaceus,LC,"",cytochrome b,480,,PASSERIFORMES,Passeri,Sylviidae
AJ004784.1,Acrocephalus arundinaceus,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
JN574447.1,Acrocephalus arundinaceus,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
FJ883022.1,Acrocephalus arundinaceus,LC,"",cytochrome b,893,,PASSERIFORMES,Passeri,Sylviidae
EF156281.1,Acrocephalus atyphus,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
EF156296.1,Acrocephalus atyphus,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
EF156297.1,Acrocephalus atyphus,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
HQ844338.1,Acrocephalus atyphus,LC,"",cytochrome b,921,,PASSERIFORMES,Passeri,Sylviidae
HQ844339.1,Acrocephalus atyphus,LC,"",cytochrome b,879,,PASSERIFORMES,Passeri,Sylviidae
