SP,GD,NUM_BP,DROPPED_PAIRS,SEQS,IUCN
Andropadus_masukuensis,0.0251874021306614,287,14,8,LC
Andropadus_tephrolaemus,0.0254527427717573,2211,68,19,LC
Anodorhynchus_hyacinthinus,3.716760982491e-4,1494,0,86,VU
Anser_albifrons,0.00876124690058135,12498,236,61,LC
Anser_anser,6.70623588677748e-4,40,10,12,LC
Anser_cygnoides,0.00801910590891587,4015,230,32,VU
Anser_erythropus,0.00628146389584637,19986,176,89,VU
Anser_fabalis,5.82358383940704e-4,14,0,8,LC
Anthus_berthelotii,0.00218424390183189,71,0,9,LC
Anthus_rufulus,0.00683127088014203,135,0,7,LC
Anthus_similis,0.0157250937125844,778,0,11,LC
Aphelocoma_californica,0.0142852117167991,8071,2,38,LC
Aphelocoma_ultramarina,0.00829268292682927,102,0,6,LC
Aphelocoma_unicolor,0.0430894308943089,2756,0,13,LC
Aphrastura_spinicauda,0.00166584561895821,45,16,9,LC
Aptenodytes_forsteri,0.0031820207873839,67236,0,236,NT
Aptenodytes_patagonicus,0.0120272909708737,279,0,7,LC
Apteryx_australis,0.0127130023532158,44031,184,93,VU
Apteryx_haastii,0.00193862318333907,344,426,30,VU
Apteryx_mantelli,0.00376979100463629,10339,508,82,VU
Apteryx_owenii,0.00608787419645245,1021,1748,53,NT
Apus_affinis,0.004522733705936,823,34,25,LC
Apus_apus,0.00447986279492691,410,106,20,LC
Apus_berliozi,0.00235266798982698,26,0,6,LC
Apus_pacificus,0.0159314880872382,287,0,7,LC
Apus_pallidus,0.0033502359518981302,42,0,6,LC
Aquila_audax,0.00605458152359775,37,24,7,LC
Aquila_chrysaetos,0.00541162854383134,112,0,7,LC
Aquila_fasciatus,0.003135134041124,1413,310,36,LC
Aquila_gurneyi,0,0,10,6,NT
Aquila_pomarina,0.0155487633705589,154,10,6,LC
Aquila_rapax,0.00848438490579347,85,10,6,LC
Arachnothera_longirostra,0.0126416808246292,86081,0,113,LC
Aratinga_weddellii,0.00182965616525495,7,16,6,LC
Arborophila_ardens,0.0013215859030837,42,0,8,VU
Arborophila_gingica,0.00221100594081505,138,0,11,NT
Ardea_cinerea,0.00208404927937353,55,106,14,LC
Ardea_herodias,0.00874083341252912,17,22,6,LC
Ardea_purpurea,0.00474703651443455,30,8,6,LC
Ardeotis_arabs,0.00837451141594201,244,0,8,NT
Ardeotis_kori,0.0214907322695075,136,18,6,NT
Arremon_aurantiirostris,0.0530990566943601,3014,0,11,LC
Arremon_flavirostris,0.0116080914248719,3522,0,27,LC
Asio_flammeus,0.0119439383561662,109,36,9,LC
Asio_otus,0.0172939669313932,443,126,16,LC
Athene_cunicularia,0.0243485182965843,306,48,11,LC
Athene_noctua,0.0451211269817168,1070,56,11,LC
Attila_spadiceus,0.00755143613193279,40039,416,106,LC
Aulacorhynchus_coeruleicinctis,0.00473866709689337,130,16,9,LC
Aulacorhynchus_derbianus,0.0328251294505726,4973,0,18,LC
Aulacorhynchus_haematopygus,0.0130916317100513,591,20,11,LC
Aulacorhynchus_prasinus,0.0367988065879336,6868,378,34,LC
Aulacorhynchus_sulcatus,0.00302677611471971,135,20,11,LC
Automolus_ochrolaemus,0.0255631419916676,330078,2196,166,LC
Automolus_rubiginosus,0.0306150421927643,895,0,8,LC
Aythya_fuligula,0.0010601684022273,56,0,11,LC
Baeolophus_inornatus,0.00252910052910053,478,0,21,LC
Baeolophus_ridgwayi,0.00111111111111111,45,0,10,LC
Bambusicola_thoracicus,0.00150070194123058,155,0,14,LC
Baryphthengus_martii,0.0514964262187529,2255,0,10,LC
Basileuterus_coronatus,0.0110101124902481,10245,0,44,LC
Basileuterus_culicivorus,0.0355471220746362,11240,50,26,LC
Basileuterus_hypoleucus,0.0304467828186994,16944,0,33,LC
Basileuterus_leucoblepharus,0.00576939387121351,8063,0,56,LC
Bernieria_zosterops,0.040535347067768,245109,0,116,LC
Bleda_canicapillus,0.0191485044035879,16513,0,43,LC
Bleda_eximius,0.0327969137503444,5951,0,20,NT
Bleda_notatus,0.00510074567666188,2572,0,33,LC
Bleda_syndactylus,0.0525151354087137,178897,0,85,LC
Bombycilla_cedrorum,0.0371596779970169,451,40,9,LC
Bombycilla_garrulus,0.0219304559138786,440,0,7,LC
Brachyramphus_brevirostris,0.00698004456393718,86,30,8,NT
Brachyramphus_marmoratus,0.0144303083697354,1589,60,17,EN
Bradypterus_davidi,0.00293340249987649,64,0,7,LC
Bradypterus_mandelli,0.0038556686877457,264,0,12,LC
Branta_canadensis,0,0,28,7,LC
Branta_hutchinsii,0,0,126,24,LC
Brotogeris_chiriri,7.41986081049299e-4,10,0,6,LC
Brotogeris_chrysoptera,0.00378578024007386,738,0,19,LC
Brotogeris_cyanoptera,0.0148673510528703,890,0,11,LC
Brotogeris_jugularis,0.00236531949173195,84,0,9,LC
Brotogeris_pyrrhoptera,0.00234168900348978,70,0,9,EN
Brotogeris_sanctithomae,0.00126894566065639,39,0,8,LC
Brotogeris_versicolurus,0.0137351563267783,293,0,7,LC
Bubo_africanus,0.011692055170316,40,24,7,LC
Bubo_scandiaca,0.00273450211268817,892,672,48,VU
Bubo_virginianus,0.0282535683196081,191,48,10,LC
Bubulcus_ibis,0.00360450626431362,54,82,11,LC
Buceros_bicornis,0.0228375299861986,319,0,6,NT
Burhinus_oedicnemus,0.0111945148501982,1378,0,24,LC
Buteo_buteo,0.00601290667621403,62,10,6,LC
Butorides_striata,0.0158417370302682,362,4,9,LC
Bycanistes_brevis,0.00166074815352035,34,0,7,LC
Cairina_moschata,0.00307779075417463,9364,0,81,LC
Calandrella_acutirostris,0.0181673646404735,613,144,17,LC
Calandrella_brachydactyla,0.00597216250830889,1472,720,38,LC
Calandrella_cinerea,0.0166926043528496,3625,630,36,LC
Calandrella_rufescens,0.00217515221656817,21,10,6,LC
Calcarius_lapponicus,0.00269708726926982,3317,0,50,LC
Calidris_alpina,0.0108731389969412,38699,6790,132,LC
Calidris_maritima,0.00169840247451663,48709,0,285,LC
Calidris_ptilocnemis,0.00137208357850875,2415,0,59,LC
Calonectris_diomedea,0.00649438394896843,3318,1138,49,LC
Camarhynchus_pallidus,0.00249044863274329,34,0,6,VU
Camarhynchus_parvulus,0.00203926571602068,23,0,6,LC
Camarhynchus_psittacula,0.00302772315193073,39,0,6,VU
Campephilus_principalis,0.0136869186013799,108,0,6,CR
Campylorhamphus_procurvoides,0.0256201506747048,4501,0,19,LC
Campylorhamphus_pusillus,0.0206173875932156,563,0,8,LC
Campylorhamphus_trochilirostris,0.00315143829665836,145,0,10,LC
Capito_auratus,0.0419386904317876,8340,0,20,LC
Capito_wallacei,0.001632369540679,94,0,11,VU
Caprimulgus_europaeus,0.0603116914821914,473,20,7,LC
Caprimulgus_longirostris,0.0125848315282842,828,0,12,LC
Cardinalis_cardinalis,0.0331061739599704,11032,150,28,LC
Carduelis_barbata,0.00346228919992177,49,0,6,LC
Carduelis_cannabina,6.66751093739701e-4,10,0,7,LC
Carduelis_chloris,0.00254884656226142,87,20,11,LC
Carduelis_flavirostris,0.00529049205304691,424,0,14,LC
Carduelis_magellanica,0.00862329604057777,3655,0,30,LC
Carduelis_sinica,0.00180473657621841,23,0,6,LC
Carduelis_spinus,0.0131701993294124,548,20,11,LC
Carduelis_tristis,0.0079411180469685,16,56,9,LC
Carpodacus_eos,0.00146108755300574,12,10,6,LC
Carpodacus_erythrinus,0.0154421326339247,1681,0,17,LC
Carpodacus_mexicanus,0.0091119907027441,45,78,11,LC
Carpodacus_pulcherrimus,0.0201689555917527,2913,64,22,LC
Carpodacus_rodopeplus,0.045056997134652,487,0,6,LC
Carpodacus_roseus,0.00305323975721797,54,10,8,LC
Carpodacus_rubicilloides,0.00894589679006663,70,14,7,LC
Carpodacus_synoicus,0.0221216345613923,289,8,8,LC
Carpodacus_vinaceus,0.00700955455436493,2950,0,32,LC
Casmerodius_albus,0.00687969621498159,30,28,7,LC
Casuarius_bennetti,0.00291719973295367,7,16,6,LC
Casuarius_casuarius,0.00351046624279044,98,28,15,LC
Casuarius_unappendiculatus,0.0130293159609121,112,0,8,LC
Catamenia_inornata,0.00799397824027856,477,0,12,LC
Catharacta_antarctica,0.00179209828682345,28,0,7,LC
Catharacta_chilensis,0.00371732024428395,122,0,9,LC
Catharacta_lonnbergi,0.00298881480299157,61,0,7,LC
Catharacta_maccormicki,0.00168592323756453,50,18,10,LC
Catharacta_skua,0.00160263120291831,48,2,9,LC
Cathartes_aura,3.26930200812021e-4,5,12,7,LC
Catharus_frantzii,0.0107626369181204,8712,406,51,LC
Catharus_fuscescens,9.24853297686395e-4,144,0,18,LC
Catharus_guttatus,0.0126201915654889,41904,0,81,LC
Catharus_minimus,0.00237807896782444,391,0,18,LC
Catharus_ustulatus,0.0100631230752144,30853,154,78,LC
Celeus_grammicus,0.00517694328542729,134,0,9,LC
Cercomela_familiaris,0.0404892266413234,597,0,6,LC
Certhia_brachydactyla,0.011328125,319,0,11,LC
Certhia_familiaris,0.0127120994442648,1834,84,25,LC
Certhia_himalayana,0.00502232142857143,54,14,8,LC
Certhia_hodgsoni,0.0164930555555556,304,0,9,LC
Certhidea_olivacea,0.0179031490325742,1027,0,12,VU
Certhilauda_chuana,0.00177728606902961,74,26,14,LC
Cettia_acanthizoides,0.00304246442597693,47,0,6,LC
Cettia_cetti,0.0164215637893813,760,0,10,LC
Cettia_diphone,0.0112672556575722,786,0,13,LC
Cettia_fortipes,0.046601522677051,995,0,7,LC
Chalcophaps_indica,0.0217294666339254,333,0,6,LC
Chamaea_fasciata,0.00183038541252895,3948,124,63,LC
Charadrius_obscurus,5.00375281461096e-4,12,0,7,CR
Chen_canagica,0.00269599255147768,14,100,12,NT
Chiroxiphia_caudata,0.0356793334616297,234347,536,136,LC
Chlamydotis_undulata,3.39277822742308e-4,31,144,18,VU
Chlidonias_hybrida,0.00747085415179634,157,20,11,LC
Chlidonias_niger,0.0037051972866637,249,68,19,LC
Chlorocharis_emiliae,0.0116006487584475,9312,0,38,LC
Chlorophanes_spiza,0.0032209530621452,8216,212,74,LC
Chloropsis_aurifrons,0.0203356008998447,1055,2,14,LC
Chloropsis_cochinchinensis,0.035227904248186,1352,0,12,NT
Chloropsis_cyanopogon,0.0435079752947119,341,0,6,NT
Chloropsis_hardwickii,0.0234064819334562,981,0,13,LC
Chloropsis_sonnerati,0.013671619344001,218,0,8,VU
Chlorospingus_ophthalmicus,0.0507667821811922,6901,0,16,LC
Chondrohierax_uncinatus,0.00451541317532877,426,0,14,LC
Chordeiles_minor,0.0237847159140626,249,28,8,LC
Chrysococcyx_minutillus,0.00239377618192702,1504,0,48,LC
Chrysocolaptes_lucidus,0.0448780878336611,230,16,7,LC
Chrysolophus_amherstiae,0.0176755278966131,175,8,6,LC
Cinclus_cinclus,0.00258263173334963,23546,214,137,LC
Circus_cyaneus,0.00196316224631716,8,18,6,LC
Circus_spilonotus,0.00209184666277486,86,0,9,LC
Cisticola_juncidis,0.0195928365971093,923,0,10,LC
Clytorhynchus_vitiensis,0.0046556741028128,72,0,6,LC
Coccothraustes_coccothraustes,0.00766123542484926,71,18,7,LC
Coccyzus_americanus,0.00779684254701227,5872,256,45,LC
Coereba_flaveola,0.030141920011502,57095,0,72,LC
Colaptes_auratus,0.0170262440455564,267,26,8,LC
Colaptes_rubiginosus,0.0388858145186166,579,0,6,LC
Collocalia_elaphra,0,0,16,6,VU
Collocalia_esculenta,0.0493644605818889,16109,1012,45,LC
Collocalia_linchi,0.00794754487510429,172,20,9,LC
Collocalia_maxima,0.00424353002958379,2374,290,38,LC
Collocalia_salangana,0.0186608965447804,411,70,12,LC
Colluricincla_harmonica,0.0229367394666925,5057,30,8,LC
Colluricincla_megarhyncha,0.0364680616396692,70104,2032,175,LC
Colonia_colonus,0.0478290527505839,7292,0,18,LC
Columba_bollii,3.42334414136278e-4,6,0,7,LC
Columba_livia,0.00167997419470524,3200,856,66,LC
Columba_palumbus,0.0090047057305463,601,16,19,LC
Columbina_passerina,0.0039348328165262,75,0,7,LC
Conopophaga_aurita,0.0581474422191864,856,0,6,LC
Conopophaga_lineata,0.0352133657897924,896,16,9,LC
Conopophaga_melanops,0.0132030874739018,272,0,7,LC
Conostoma_oemodium,0.0440989928307726,452,0,6,LC
Copsychus_saularis,0.0204211592554375,4738,0,21,LC
Corvus_cryptoleucus,0.00657659805617719,187,72,11,LC
Corvus_macrorhynchos,0.0050763689280349,113948,1648,211,LC
Corvus_splendens,0.00190054405739827,109302,1328,91,LC
Coryphospingus_cucullatus,0.00346478445087226,46,0,6,LC
Cossypha_anomala,0.0258517034068136,258,10,6,NT
Coturnicops_noveboracensis,0.00417509652970218,384,0,19,LC
Crax_fasciolata,0.00328803456195997,6,24,6,VU
Crax_rubra,0.0161302085956859,126,34,8,VU
Crossoptilon_auritum,0.00573176700930005,67,0,6,LC
Crossoptilon_crossoptilon,0.00819686365420289,139,14,8,NT
Crossoptilon_harmani,0.0125156020558003,150,12,7,NT
Crossoptilon_mantchuricum,0.0044814076826272,26,16,6,VU
Crypturellus_soui,0.0468298807281858,746,0,6,LC
Cuculus_canorus,0.00508905852417303,20,26,8,LC
Culicicapa_ceylonensis,0.0042362109276788,419,0,15,LC
Cyanerpes_caeruleus,0.0132452436458877,10543,144,42,LC
Cyanocitta_stelleri,0.00302959131855801,2799,0,43,LC
Cyanocorax_chrysops,0.00723543745765968,105,0,6,LC
Cyanocorax_yncas,0.0350542768887944,520,0,6,LC
Cyanoliseus_patagonus,0.0049711790894601,31507,316,159,LC
Cyanopica_cyanus,0.0142363100113026,148293,0,137,LC
Cyanopsitta_spixii,0.00509294893041684,90,14,8,CR
Cyanoramphus_auriceps,0.00242736430694009,17,24,7,NT
Cygnus_atratus,0.003985891538937,7,22,6,LC
Cymbilaimus_lineatus,0.0151324292406419,18774,100,51,LC
Cyornis_banyumas,0.03275015795293,324,10,6,LC
Cyornis_hainanus,0.00543621334175749,413,0,13,LC
Cyornis_pallipes,7.21153846153846e-4,21,0,8,LC
Cyornis_rubeculoides,0.019403675601284,846,0,10,LC
Cypsiurus_balasiensis,0.00269792758025834,25,8,7,LC
Daphoenositta_chrysoptera,0.0353743046480225,3454,16,6,LC
Dendragapus_fuliginosus,2.34604105571847e-4,72,0,25,LC
Dendrexetastes_rufigula,0.0103828464536811,2574,0,23,LC
Dendrocincla_fuliginosa,0.0382385129084433,1242259,2064,262,LC
Dendrocincla_merula,0.0264414985546989,395,0,6,LC
Dendrocolaptes_certhia,0.0157996139983281,15518,0,45,LC
Dendrocolaptes_picumnus,0.0425156590765665,456,20,7,LC
Dendrocolaptes_platyrostris,0.00446437744615829,2309,0,33,LC
Dendrocolaptes_sanctithomae,0.0025377074344235602,92,0,9,LC
Dendrocopos_leucotos,0.00651031390011154,337,22,12,LC
Dendrocopos_major,0.0059375783354439,19419,3618,94,LC
Dendroica_coronata,0.026809225442537,836,0,8,LC
Dendroplex_kienerii,6.09019793143275e-4,116,0,21,NT
Dendroplex_picus,0.0167365521441527,251,0,6,LC
Dicaeum_trigonostigma,0.023273912623811,1380,0,11,LC
Drymophila_devillei,0.0141736590793195,289,0,11,LC
Elanoides_forficatus,0.0168881438014797,235,16,9,LC
Eleoscytalopus_indigoticus,0.0181641478618913,93,0,6,NT
Emberiza_cioides,0.00122477968887828,34,0,8,LC
Emberiza_citrinella,0.00247113864128409,49,32,10,LC
Emberiza_elegans,0.00964040537449259,695,0,15,LC
Emberiza_fucata,0.0585739344460117,829,18,8,LC
Emberiza_godlewskii,0.0248248545651723,1296,0,12,LC
Emberiza_hortulana,0.0026196161951693,28,0,6,LC
Emberiza_pallasi,0.00194878237194679,32,24,8,LC
Emberiza_pusilla,0.0167573615389124,258,12,7,LC
Emberiza_rustica,0.0239890568350891,2892,0,17,VU
Emberiza_rutila,0.00345215217707749,48,0,6,LC
Emberiza_schoeniclus,0.00426568781092528,403,266,26,LC
Emberiza_spodocephala,0.00195126184605432,82,14,11,LC
Emberiza_tahapisi,0.0206203887839536,350,0,7,LC
Emberiza_tristrami,0.00231582305582153,44,0,7,LC
Empidonax_alnorum,0.00289159700368711,14490,804,137,LC
Empidonax_traillii,0.00340278048207842,16276,552,95,LC
Eopsaltria_australis,0.0304997679887899,20078,0,35,LC
Epinecrophylla_fulviventris,0.00218466047332775,61,0,8,LC
Epinecrophylla_leucophthalma,0.0175293306527592,288,48,11,LC
Eremophila_alpestris,0.0144633752963729,7588,0,35,LC
Eremopterix_nigriceps,0.022735535238156,288,0,6,LC
Ergaticus_ruber,0.00299395407348159,7429,0,77,LC
Ergaticus_versicolor,0.00123566501292549,22,0,7,VU
Erithacus_akahige,0.00443055173024886,3310,0,39,LC
Erithacus_komadori,0.0214140176708053,603,0,8,NT
Erithacus_rubecula,0.0169356095461692,157071,292,147,LC
Erpornis_zantholeuca,0.0177226369708694,270,12,7,LC
Eucometis_penicillata,0.0122439880158985,11228,0,44,LC
Eudocimus_albus,0.00157790927021696,88,0,11,LC
Eudocimus_ruber,0.00159537437510647,104,0,12,LC
Eudynamys_scolopaceus,0,0,24,6,LC
Eudyptes_chrysocome,0.00563726092507876,403,0,13,VU
Eudyptes_chrysolophus,0.00218330495601922,33,0,6,VU
Eudyptes_moseleyi,3.98127937270318e-4,6,0,7,EN
Eudyptula_minor,0.0193483669855503,788,158,20,LC
Eumyias_albicaudatus,0.0130196331459121,2825,0,20,LC
Eunymphicus_uvaeensis,0,0,0,6,VU
Eupodotis_senegalensis,0.0047640626897577,77,12,7,LC
Eurystomus_orientalis,0.00102391333069098,31,32,10,LC
Falco_cherrug,0.00335756479160663,170,176,19,EN
Falco_columbarius,0.0239440607973568,342,12,7,LC
Falco_eleonorae,0.00402769037130271,96,0,7,LC
Falco_naumanni,0.0279596956491571,636,0,7,LC
Falco_pelegrinoides,0.00103457733990303,16,0,6,LC
Falco_peregrinus,0.00412962928534975,5311,202,52,LC
Falco_rusticolus,0.00123505086977756,48,80,13,LC
Falco_sparverius,0.0128097645841585,149,24,8,LC
Falco_tinnunculus,0.00508205994541093,648,32,17,LC
Falco_vespertinus,0.00519317858888085,48,10,6,NT
Ficedula_albicilla,1.9717004967152e-4,82,0,29,LC
Ficedula_hyperythra,0.0169499871518474,764,0,11,LC
Ficedula_hypoleuca,0.00183763815137573,41,26,9,LC
Ficedula_mugimaki,0.00399996839179022,62,0,6,LC
Ficedula_nigrorufa,0.00390224993585954,462,32,17,LC
Ficedula_parva,0.0249462693905254,5369,0,21,LC
Formicarius_colma,0.0209201077320862,259,0,9,LC
Formicivora_rufa,0.00721739665469676,81,42,10,LC
Forpus_conspicillatus,0.00618113991443988,340,98,18,LC
Forpus_cyanopygius,0.00170807854199323,132,18,14,NT
Forpus_modestus,0.0177293299298444,2020,0,15,LC
Forpus_passerinus,0.0029650864629323,271,80,17,LC
Forpus_xanthopterygius,0.030059503733515,1659,0,11,LC
Francolinus_afer,0.0174848803948026,921,40,13,LC
Francolinus_coqui,0.0406743574552227,1674,60,13,LC
Francolinus_hildebrandti,0.0179485269653132,237,2,6,LC
Francolinus_levaillantoides,0.0357140872879969,681,6,8,LC
Francolinus_sephaena,0.0324242424242424,309,10,6,LC
Fregata_magnificens,0.00251908682880434,113931,29568,295,LC
Fregata_minor,0.0135269557235977,944,28,15,LC
Fregetta_grallaria,0.0413471312052794,835,36,10,LC
Fregetta_tropica,0.00527228581338883,76,12,7,LC
Fringilla_coelebs,0.0172300143847047,68833,222,112,LC
Fringilla_montifringilla,0.00721767422130413,238,0,9,LC
Fringilla_teydea,5.64434083017324e-4,1888,252,27,NT
Fulica_atra,0.0129857749023832,120,36,8,LC
Galerida_cristata,0.0103133499500559,1022,164,21,LC
Galerida_theklae,0.0215682365541428,1091,24,13,LC
Gallinago_gallinago,0.0444383303758722,562,24,8,LC
Gallinula_chloropus,0.00773919496937523,96,62,11,LC
Gallirallus_australis,0.00645987684190496,100,70,12,VU
Gallirallus_philippensis,0.00411083025018923,134,180,19,LC
Gallus_gallus,0.00271625556766871,32235,43730,258,LC
Gallus_sonneratii,0.024664976124312,352,0,6,LC
Garrulax_affinis,0.0164555819781095,330,4,8,LC
Garrulax_canorus,0.00484475944148609,153150,0,241,LC
Garrulax_chinensis,0.0106063404722969,16295,108,55,LC
Garrulax_delesserti,0.00152394775036284,126,0,13,LC
Garrulax_elliotii,0.00464044044418171,15364,178,90,LC
Garrulax_erythrocephalus,0.0286015859758143,606,0,8,LC
Garrulax_formosus,0.0036025320882789,24,10,6,LC
Garrulax_milnei,0.00806103649856318,84,0,6,LC
Garrulax_ocellatus,0.00876567957432139,205,14,9,LC
Garrulax_pectoralis,0.0205261537152763,256,0,6,LC
Garrulax_poecilorhynchus,0.0157512124991362,220,0,6,LC
Garrulax_sannio,0.00710590881812969,129,8,8,LC
Garrulax_taewanus,0.00291344309514187,395,0,16,NT
Garrulus_glandarius,0.0208717251601294,104664,2628,98,LC
Gavia_immer,8.30348737821432e-4,512,152,40,LC
Geococcyx_californianus,0.0186435762201265,16,24,6,LC
Geositta_cunicularia,0.0170712263575456,77,24,7,LC
Geospiza_difficilis,0.0111082469879381,1148,0,16,LC
Geospiza_fortis,0.032509515108122,826,16,9,LC
Geospiza_fuliginosa,0.0046355199628448,89,0,7,LC
Geospiza_magnirostris,0.0022231068472995702,57,0,8,LC
Geospiza_scandens,0.00448952218913598,142,0,9,LC
Geothlypis_poliocephala,0.0112201163221872,173,0,6,LC
Geothlypis_trichas,0.00735914566568299,896,32,17,LC
Glaucidium_brasilianum,0.016217377136112,12432,600,49,LC
Glyphorynchus_spirurus,0.0508688954655327,6017200,84250,573,LC
Goura_cristata,0.00108629053997631,851,40,12,VU
Goura_scheepmakeri,9.29124170760022e-4,160,10,6,VU
Goura_victoria,0.00197686199428178,4186,32,17,NT
Grallaria_capitalis,0.0135155749522558,1433,0,16,LC
Grallaria_hypoleuca,0.00123108637452766,31,0,8,LC
Grallaria_przewalskii,6.17531138851124e-4,25,0,10,VU
Grus_antigone,0.00443666082895505,228,42,12,VU
Grus_canadensis,0.00883996330581269,212,30,9,LC
Grus_japonensis,0.0020331344082719,115,32,8,EN
Guaruba_guarouba,0.0150928534411261,87,16,6,VU
Gygis_alba,0.00403004498798018,19140,274,139,LC
Gymnorhina_tibicen,0.0168697813991735,1292,64,18,LC
Gypaetus_barbatus,0.0217458630403537,317,0,6,NT
Gyps_africanus,0.00260432389704614,408,0,18,CR
Gyps_bengalensis,0.00274623797570615,534,0,20,CR
Gyps_coprotheres,0.00379307344479807,58,0,6,EN
Gyps_fulvus,0.00626476534190302,1218,40,21,LC
Gyps_himalayensis,0.00148809523809524,32,14,8,NT
Gyps_indicus,0.00156021564327485,24,0,6,CR
Gyps_rueppellii,0.002236328857123,48,0,7,CR
Habia_fuscicauda,0.00732410859073382,335,0,10,LC
Habia_rubica,0.0491115329954517,244433,0,101,LC
Halobaena_caerulea,5.20027709988341e-4,244,0,33,LC
Hapalopsittaca_amazonina,0.0149519727450417,530,0,9,VU
Hemiphaga_novaeseelandiae,0.00471790410257888,148,0,9,NT
Henicorhina_leucosticta,0.0440938494727418,43693,0,43,LC
Heterophasia_capistrata,0.0054326435368967,57,10,7,LC
Hieraaetus_pennatus,0.00178442112366532,27,12,7,LC
Hieraaetus_spilogaster,0.00188854089976185,28,0,6,LC
Hippolais_caligata,0.0262558250029799,343,0,6,LC
Hippolais_opaca,0.00313538118466525,15,24,7,LC
Hippolais_pallida,0.019695200690912,1223,176,19,LC
Hippolais_rama,0.00229285381751906,28,12,7,LC
Hirundo_rustica,0.00659610053118534,57952,512,130,LC
Hydrobates_pelagicus,0.00765601201115921,1258,190,24,LC
Hylopezus_macularius,0.0252130389534892,448,0,10,LC
Hylophilus_ochraceiceps,0.0315980308165101,4487,0,17,LC
Hylophylax_naevioides,0.00825833353191702,138,0,7,LC
Hylophylax_naevius,0.0436363663561901,39334,0,43,LC
Hypocnemis_striata,0.0190464916784784,387,0,7,LC
Hypothymis_azurea,0.00883567398762511,119,0,6,LC
