SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS
Aegotheles_crinifrons,0.009803922,3,0,2
Aegotheles_cristatus,0.004937713,36,16,6
Aegotheles_insignis,0.009190462,29,8,5
Aegotheles_tatei,0.005703422,3,0,2
Aegotheles_wallacii,0.017097039,54,0,4
Aegypius_monachus,0.016604156,4033,160,42
Aethopyga_gouldiae,0.007874016,9,0,2
Agelaioides_badius,0.002679562,7,0,3
Agelaius_phoeniceus,0.008354552,627,26,14
Agelaius_tricolor,,0,2,2
Agelasticus_cyanopus,0.003257655,17,0,4
Agelasticus_thilius,0,0,0,2
Agelasticus_xanthophthalmus,0,0,0,2
Ailuroedus_buccoides,0.012877208,463,0,10
Ailuroedus_crassirostris,0.009086738,201,0,8
Ailuroedus_melanotis,0.01163359,976,0,15
Aimophila_botterii,0.00501592,3551,176,48
Aimophila_cassinii,0.001455166,28,0,8
Aimophila_ruficauda,0.006124234,7,0,2
Alaemon_alaudipes,0.025794108,380,0,6
Alauda_arvensis,0.003190477,16,0,4
Alauda_gulgula,0.009072581,9,0,2
Alca_torda,0,0,0,2
Alcedo_atthis,0.001547988,1,4,3
Alcippe_brunnea,0,0,0,2
Alcippe_brunneicauda,0.010441641,29,0,3
Alcippe_castaneceps,0.026381,108,0,4
Alcippe_chrysotis,0.034435454,445,0,6
Alcippe_cinerea,0.025200113,305,0,6
Alcippe_cinereiceps,0.040660626,430,0,6
Alcippe_dubia,0.054608685,886,12,8
Alcippe_grotei,0.002018105,5,0,3
Alcippe_morrisonia,0.003426301,234,0,15
Alcippe_nipalensis,0.056091148,64,0,2
Alcippe_peracensis,0.005277045,12,0,3
Alcippe_poioicephala,0.028051504,2106,0,14
Alcippe_ruficapilla,0.008109045,14,0,3
Alcippe_rufogularis,0.060296227,162,0,3
Alcippe_vinipectus,0.035773323,334,0,5
Aleadryas_rufinucha,0.001517451,1,0,2
Alectoris_graeca,0.001436751,26,36,9
Alectoris_magna,0.003240344,726,0,24
Alectrurus_risora,0.003632499,138,0,11
Alectura_lathami,0.001742934,6232,472,125
Alethe_choloensis,0.002624672,3,0,2
Alethe_diademata,0.006124234,7,0,2
Alethe_fuelleborni,0.005251898,18,0,3
Alethe_poliocephala,0.040888096,4454,0,15
Alethe_poliophrys,0.001166521,4,0,3
Alipiopsitta_xanthops,0.021788991,19,4,3
Alle_alle,0.004370635,45,0,5
Alophoixus_bres,0.002254791,2,0,2
Alopochen_aegyptiaca,0.001090513,1,4,3
Amadina_fasciata,0,0,0,2
Amandava_amandava,0.001082251,1,0,2
Amaurocichla_bocagei,0,0,0,2
Amaurornis_akool,0.006423983,6,0,2
Amaurornis_olivacea,0.058631922,18,0,2
Amaurornis_phoenicurus,0.002861542,14,18,6
Amazilia_tzacatl,0.02739726,16,0,2
Amazona_agilis,0.001677852,1,0,2
Amazona_arausiaca,0.001428804,6,0,4
Amazona_auropalliata,,0,2,2
Amazona_barbadensis,0.001945525,6,0,3
Amazona_collaria,0,0,0,2
Amazona_farinosa,0.021959342,4515,46,24
Amazona_guildingii,0,0,0,2
Amazona_imperialis,0,0,0,2
Amazona_kawalli,0.002304147,2,0,2
Amazona_ochrocephala,0.023467533,632,0,9
Amazona_oratrix,,0,2,2
Amazona_ventralis,0.003273798,21,0,4
Amazona_vittata,0.001246415,5,0,4
Amazonetta_brasiliensis,0,0,0,2
Amblycercus_holosericeus,0.027584429,369,0,6
Amblyornis_inornata,0.005464481,5,0,2
Amblyramphus_holosericeus,0.001131222,1,0,2
Ammodramus_humeralis,0.011695906,8,0,2
Ammodramus_savannarum,0.076245541,226,0,3
Ammomanes_cinctura,0.048526162,466,0,5
Ammomanes_deserti,0.050175949,720,0,6
Ampelioides_tschudii,0.010568469,25,0,3
Ampelion_rubrocristatus,0.004395604,4,0,2
Amphispiza_belli,0.007988643,40770,0,95
Amphispiza_bilineata,0,0,0,2
Anairetes_agilis,,0,2,2
Anairetes_alpinus,,0,2,2
Anairetes_flavirostris,0.027446674,163,18,6
Anairetes_nigrocristatus,0.001613036,269,0,19
Anairetes_parulus,0.008543809,18,6,4
Anairetes_reguloides,0.001226593,1531,102,52
Anas_acuta,0.003827751,12,0,3
Anas_bahamensis,0.001916322,6,0,3
Anas_castanea,,0,2,2
Anas_clypeata,0.013602757,84,0,4
Anas_crecca,0.012695263,82,8,5
Anas_cyanoptera,0.002551834,8,6,4
Anas_discors,0.001915709,2,0,2
Anas_falcata,0.029346093,92,0,3
Anas_flavirostris,0,0,0,3
Anas_formosa,0.005107335,16,0,3
Anas_gracilis,,0,2,2
Anas_hottentota,0.000956938,1,0,2
Anas_penelope,0.000956938,1,0,2
Anas_platyrhynchos,0.000742335,784,2120,74
Anas_poecilorhyncha,0.000557937,6,0,5
Anas_puna,0,0,0,2
Anas_querquedula,0,0,0,2
Anas_rhynchotis,,0,2,2
Anas_sibilatrix,0.001913876,2,0,2
Anas_sparsa,0.004784689,5,0,2
Anas_strepera,0.0006778,1007,0,55
Anas_superciliosa,0.002070393,1,10,4
Andigena_cucullata,0.001757763,11,0,4
Andigena_hypoglauca,0.00702399,21,0,3
Andigena_laminirostris,0.01004551,26,0,3
Andropadus_latirostris,0.017999638,1053,0,14
Andropadus_nigriceps,0.003924647,15,0,4
Andropadus_tephrolaemus,0.025627063,2210,0,17
Anhinga_anhinga,0.016488277,16,0,3
Anisognathus_lacrymosus,0.029746282,34,0,2
Anisognathus_notabilis,0.004416961,5,0,2
Anodorhynchus_hyacinthinus,0.000371676,1494,0,86
Anodorhynchus_leari,0.002606712,8,0,3
Anorrhinus_austeni,0.01540154,14,0,2
Anorrhinus_galeritus,0.011734507,32,0,3
Anorrhinus_tickelli,0.04950495,45,0,2
Anous_minutus,0.000991197,8,0,5
Anous_stolidus,0.016936106,82,0,4
Anous_tenuirostris,0.048709835,205,0,4
Anser_albifrons,0.008761247,12498,236,61
Anser_anser,0.000670279,40,10,12
Anser_cygnoides,0.008611358,4518,62,32
Anser_erythropus,0.006281464,19986,176,89
Anser_fabalis,0.000582293,14,0,8
Anser_indicus,0.003827751,4,0,2
Anseranas_semipalmata,0.000874891,1,4,3
Anthracoceros_albirostris,0.008174806,46,0,4
Anthracoceros_coronatus,0,0,0,2
Anthracoceros_malayanus,0.036485472,345,0,5
Anthracothorax_prevostii,,0,2,2
Anthus_berthelotii,0.002184244,71,0,9
Anthus_campestris,0.006123849,15,0,3
Anthus_gutturalis,0.02722063,19,0,2
Anthus_hodgsoni,0.006124234,7,0,2
Anthus_nilghiriensis,0.000962464,1,0,2
Anthus_pratensis,0,0,0,2
Anthus_rufulus,0.006828134,135,0,7
Anthus_similis,0.023059714,1392,0,12
Anthus_spinoletta,0.038295678,117,0,3
Anthus_trivialis,0.071672355,63,0,2
Antilophia_galeata,0.002352941,1,0,2
Anumbius_annumbi,0.001072961,1,0,2
Apalis_flavida,0.007774538,8,0,2
Apalis_thoracica,0.052525253,52,0,2
Aphanotriccus_audax,0.003499563,4,0,2
Aphelocephala_leucopsis,0.006289308,4,0,2
Aphelocoma_californica,0.001788429,686,0,32
Aphelocoma_coerulescens,0,0,0,3
Aphelocoma_insularis,0,0,0,3
Aphelocoma_ultramarina,0.008292683,102,0,6
Aphelocoma_unicolor,0.043089431,2756,0,13
Aphrastura_spinicauda,0.001665846,45,16,9
Aptenodytes_forsteri,0.003030087,63462,0,235
Aptenodytes_patagonicus,0.012019703,279,0,7
Apteryx_australis,0.012713002,44031,184,93
Apteryx_haastii,0.001938623,344,426,30
Apteryx_mantelli,0.003769785,10339,508,82
Apteryx_owenii,0.006087874,1021,1748,53
Apus_acuticauda,0,0,0,2
Apus_affinis,0.004522474,823,34,25
Apus_alexandri,0.001194743,1,0,2
Apus_apus,0.003440925,369,38,18
Apus_balstoni,0,0,0,2
Apus_barbatus,0.030063886,80,0,3
Apus_batesi,0.002259887,2,0,2
Apus_berliozi,0.002352668,26,0,6
Apus_bradfieldi,0.01862631,16,0,2
Apus_caffer,0.008646064,72,0,5
Apus_nipalensis,0.009968426,21,12,5
Apus_pacificus,0.015931488,287,0,7
Apus_pallidus,0.003350236,42,0,6
Apus_unicolor,0.003488372,3,0,2
Aquila_adalberti,0,0,0,2
Aquila_africanus,,0,2,2
Aquila_audax,0.006053949,37,24,7
Aquila_chrysaetos,0.005410831,112,0,7
Aquila_clanga,0.000844914,8,0,5
Aquila_fasciatus,0.003134999,1413,310,36
Aquila_gurneyi,0,0,10,6
Aquila_heliaca,0.001984294,12,0,4
Aquila_nipalensis,0.001012286,3,0,3
Aquila_pomarina,0.015541689,154,10,6
Aquila_rapax,0.008480353,85,10,6
Aquila_verreauxii,0.000690846,2,0,3
Aquila_wahlbergi,0.002806145,8,0,3
Ara_glaucogularis,,0,2,2
Arachnothera_longirostra,0.003020903,18245,0,107
Aratinga_aurea,0.003711046,10,0,3
Aratinga_auricapillus,0.005882353,12,0,4
Aratinga_brevipes,0,0,0,2
Aratinga_cactorum,0.006009615,5,4,3
Aratinga_jandaya,0,0,0,5
Aratinga_leucophthalma,0.033783784,30,0,2
Aratinga_mitrata,0.000968054,1,0,2
Aratinga_rubritorquis,0.003112033,3,0,2
Aratinga_solstitialis,0.001960784,2,0,3
Aratinga_weddellii,0.001829656,7,16,6
Arborophila_ardens,0.001312336,42,0,8
Arborophila_atrogularis,0.001749781,2,0,2
Arborophila_brunneopectus,0.001749781,6,0,3
Arborophila_crudigularis,0.000699913,8,0,5
Arborophila_gingica,0.002354739,148,0,11
Arborophila_rufipectus,0,0,0,2
Arborophila_rufogularis,0.016622922,19,0,2
Arborophila_torqueola,0.003499563,4,0,2
Archilochus_colubris,0,0,10,4
Ardea_cinerea,0.002083832,55,106,14
Ardea_herodias,0.008740833,17,22,6
Ardea_purpurea,0.004747037,30,8,6
Ardeotis_arabs,0.008374511,244,0,8
Ardeotis_kori,0.021487902,136,8,5
Ardeotis_nigriceps,0.00351803,4,0,3
Arenaria_interpres,0.003499563,4,0,2
Argusianus_argus,0.026369183,68,6,4
Arremon_aurantiirostris,0.053097413,3014,0,11
Arremon_flavirostris,0.009781285,2752,0,26
Arremonops_rufivirgatus,,0,2,2
Arses_insularis,0.003006012,3,0,2
Arses_kaupi,0.001939864,2,0,2
Arses_telescophthalmus,0.003879728,4,0,2
Artamus_cyanopterus,0.006124234,7,0,2
Artamus_leucorynchus,0.010835176,55,0,4
Arundinicola_leucocephala,0.000874891,6,0,4
Asio_flammeus,0.011942491,109,36,9
Asio_otus,0.017293967,443,126,16
Asthenes_dorbignyi,0.008200523,22,14,5
Asthenes_humicola,0,0,0,2
Asthenes_modesta,0.017017017,17,0,2
Atelornis_crossleyi,0.00308642,3,0,2
Atelornis_pittoides,0.006516536,68,0,5
Athene_brama,,0,2,2
Athene_cunicularia,0.024348518,306,48,11
Athene_noctua,0.045121127,1070,56,11
Atlapetes_pileatus,0.006124234,7,0,2
Attagis_gayi,0.002788203,9,0,3
Attila_citriniventris,0.003887269,12,0,3
Attila_spadiceus,0.007548186,40039,416,106
Aulacorhynchus_coeruleicinctis,0.004735256,130,16,9
Aulacorhynchus_derbianus,0.033618086,6390,80,22
Aulacorhynchus_haematopygus,0.013080777,591,20,11
Aulacorhynchus_prasinus,0.054842793,37387,1378,66
Aulacorhynchus_sulcatus,0.003730945,439,32,17
Automolus_ochrolaemus,0.025560424,330078,2196,166
Automolus_rubiginosus,0.03113192,911,0,8
Aythya_australis,,0,2,2
Aythya_ferina,0.000956938,1,0,2
Aythya_fuligula,0.001060152,56,0,11
Babax_lanceolatus,0.006655571,39,6,5
Baeolophus_bicolor,0,0,0,2
Baeolophus_inornatus,0.002529101,478,0,21
Baeolophus_ridgwayi,0.001111111,45,0,10
Balaeniceps_rex,0.01387417,14,6,4
Balearica_pavonina,0.022163896,76,0,3
Balearica_regulorum,0.014581511,50,0,3
Bambusicola_thoracicus,0.001490198,155,0,14
Bangsia_arcaei,0.001836547,2,0,2
Baryphthengus_martii,0.051496426,2255,0,10
Basileuterus_bivittatus,0.055166375,63,0,2
Basileuterus_cinereicollis,,0,2,2
Basileuterus_coronatus,0.00941748,8352,0,43
Basileuterus_culicivorus,0.040446121,148736,168,85
Basileuterus_flaveolus,,0,2,2
Basileuterus_hypoleucus,0.030417923,16944,0,33
Basileuterus_leucoblepharus,0.005769394,8063,0,56
Basileuterus_luteoviridis,,0,2,2
Basileuterus_rufifrons,0.042982456,49,4,3
Basileuterus_tristriatus,0.02291957,152,8,5
Batara_cinerea,0,0,0,2
Bernieria_apperti,0.051166551,136,0,3
Bernieria_cinereiceps,0,0,0,2
Bernieria_zosterops,0.040535347,245109,0,116
Biziura_lobata,,0,2,2
Bleda_canicapillus,0.019148504,16513,0,43
Bleda_eximius,0.032796914,5951,0,20
Bleda_notatus,0.038744277,47176,0,51
Bleda_syndactylus,0.052515135,178897,0,85
Blythipicus_pyrrhotis,0.008528785,8,0,2
Bombycilla_cedrorum,0.028000626,403,26,8
Bombycilla_garrulus,0.021930456,440,0,7
Bombycilla_japonica,0.000694444,2,6,4
Bonasa_bonasia,0.004414678,9,0,3
Bonasa_sewerzowi,0.004991681,3,0,2
Bonasa_umbellus,0.003289474,2,10,4
Botaurus_lentiginosus,0.013448607,14,0,2
Botaurus_stellaris,0.011527378,12,0,2
Bowdleria_punctata,0.002793296,2,0,2
Brachypteracias_leptosomus,0.191570881,200,0,2
Brachypteryx_montana,0.068627451,70,0,2
Brachyramphus_brevirostris,0.006974252,86,30,8
Brachyramphus_marmoratus,0.014416569,1589,60,17
Brachyramphus_perdix,0.004826255,5,0,2
Bradornis_infuscatus,0,0,0,2
Bradornis_mariquensis,0.076699892,229,0,3
Bradornis_microrhynchus,0.005050505,5,0,2
Bradornis_pallidus,0.018237082,12,0,2
Bradypterus_alishanensis,0.00192864,2,0,2
Bradypterus_baboecala,0.055283353,172,0,3
Bradypterus_barratti,0.018242123,11,0,2
Bradypterus_carpalis,0.00744879,4,0,2
Bradypterus_caudatus,0.041425819,43,0,2
Bradypterus_davidi,0.002934725,64,0,7
Bradypterus_lopezi,0.041528239,25,0,2
Bradypterus_luteoventris,0.017012834,50,0,3
Bradypterus_mandelli,0.003855669,264,0,12
Bradypterus_montis,0.003180674,30,0,5
Bradypterus_sylvaticus,0.00331675,2,0,2
Bradypterus_tacsanowskius,0.001286381,4,0,3
Bradypterus_thoracicus,0.00256657,16,0,4
Bradypterus_timorensis,0,0,0,2
Branta_bernicla,0.007588417,11,8,4
Branta_canadensis,0,0,28,7
Branta_hutchinsii,0,0,126,24
Branta_leucopsis,,0,2,2
Branta_ruficollis,,0,2,2
Branta_sandvicensis,0,0,6,4
Brotogeris_chiriri,0.000741986,10,0,6
Brotogeris_chrysoptera,0.00378578,738,0,19
Brotogeris_cyanoptera,0.014855825,890,0,11
Brotogeris_jugularis,0.002365319,84,0,9
Brotogeris_pyrrhoptera,0.002341689,70,0,9
Brotogeris_sanctithomae,0.001268946,39,0,8
Brotogeris_tirica,0.001754386,2,0,2
Brotogeris_versicolurus,0.013735156,293,0,7
Bubo_africanus,0.011692055,40,24,7
Bubo_ascalaphus,0.020487805,21,4,3
Bubo_bengalensis,0,0,4,3
Bubo_capensis,0.003940887,4,0,2
Bubo_lacteus,0.013767877,23,8,4
Bubo_nipalensis,0.013474495,14,0,2
Bubo_scandiaca,0.002728307,892,672,48
Bubo_virginianus,0.028253568,191,48,10
Bubulcus_ibis,0.007267273,132,76,11
Bucanetes_githagineus,0.008083666,40,0,4
Bucephala_albeola,0,0,0,2
Bucephala_clangula,0,0,4,3
Bucephala_islandica,0.009107468,5,0,2
Buceros_bicornis,0.002867427,27,0,5
Buceros_rhinoceros,0.017079244,48,0,3
Bulweria_bulwerii,0.00128082,4,6,4
Burhinus_grallarius,,0,2,2
Burhinus_oedicnemus,0.011194515,1378,0,24
Busarellus_nigricollis,0.000984252,1,0,2
Butastur_indicus,0.006257822,5,0,2
Buteo_albicaudatus,0.000637909,2,0,3
Buteo_albigula,0,0,0,2
Buteo_albonotatus,0,0,0,2
Buteo_brachyurus,0.000928505,1,0,2
Buteo_buteo,0.006011758,62,10,6
Buteo_galapagoensis,,0,2,2
Buteo_jamaicensis,0.00813547,51,0,4
Buteo_lagopus,0.000947087,6,0,4
Buteo_leucorrhous,0.002205617,14,0,4
Buteo_lineatus,0.000656168,2,0,3
Buteo_magnirostris,0.002088867,5,0,3
Buteo_nitidus,0,0,0,3
Buteo_platypterus,0.001275171,4,0,3
Buteo_polyosoma,0.010838957,34,0,3
Buteo_regalis,0.000637586,2,0,3
Buteo_ridgwayi,0,0,0,2
Buteo_swainsoni,0.000637586,2,6,4
Buteogallus_aequinoctialis,0,0,4,3
Buteogallus_anthracinus,0.001288281,8,0,4
Buteogallus_meridionalis,0,0,0,3
Buteogallus_urubitinga,0.008349304,51,0,4
Buthraupis_eximia,0.039236678,132,0,3
Buthraupis_montana,0.064995055,424,0,4
Butorides_striata,0.015841737,362,4,9
Butorides_virescens,,0,6,3
Bycanistes_brevis,0.001660646,34,0,7
Bycanistes_bucinator,0.002878356,26,0,5
Cacatua_ducorpsii,0,0,0,5
Cacatua_haematuropygia,0.009181816,30,0,5
Cacatua_ophthalmica,0,0,0,3
Cacatua_pastinator,0,0,4,3
Cacatua_sanguinea,0.006696429,3,4,3
Cacicus_cela,0.016211499,218,0,6
Cacicus_chrysonotus,0.046789989,43,0,2
Cacicus_chrysopterus,0.002898551,8,0,3
Cacicus_haemorrhous,0.001133787,1,0,2
Cacicus_leucoramphus,0.001128668,1,0,2
Cacicus_melanicterus,0.001101322,1,0,2
Cacicus_solitarius,0.004682022,42,0,5
Cacicus_uropygialis,0.039247852,535,0,6
Cacomantis_flabelliformis,0.019933555,6,10,4
Cacomantis_merulinus,,0,2,2
Cairina_moschata,0.00307779,9364,0,81
Calamospiza_melanocorys,,0,2,2
Calandrella_acutirostris,0.019170231,566,126,16
Calandrella_brachydactyla,0.005969469,1472,720,38
Calandrella_cinerea,0.015899238,3275,588,35
Calandrella_raytal,0.001011122,1,0,2
Calandrella_rufescens,0.002375254,23,10,6
Calcarius_lapponicus,0.002697095,3317,0,50
Calcarius_mccownii,0.001780944,6,0,3
Calcarius_ornatus,0.002374592,8,0,3
Calcarius_pictus,0,0,0,2
Calidris_alpina,0.010282194,30319,0,97
Calidris_canutus,0.005192108,5,0,2
Calidris_ferruginea,0.000995025,1,0,2
Calidris_himantopus,0,0,0,2
Calidris_maritima,0.001762646,48709,0,285
Calidris_ptilocnemis,0.001372084,2415,0,59
Calidris_ruficollis,,0,2,2
Calidris_tenuirostris,0.00199005,2,0,2
Callaeas_cinereus,0.021057616,115,0,4
Callipepla_douglasii,,0,2,2
Callocephalon_fimbriatum,0.011160714,5,0,2
Callonetta_leucophrys,0.02166544,63,0,3
Calochaetes_coccineus,0,0,0,2
Calocitta_formosa,0.03902439,32,0,2
Caloenas_nicobarica,0.007960784,26,0,3
Calonectris_diomedea,0.0073937,3864,1138,49
Calonectris_edwardsii,0.003970742,38,0,5
Calonectris_leucomelas,0.002089864,6,0,3
Caloperdix_oculeus,,0,2,2
Calorhamphus_fuliginosus,0,0,0,2
Calyptophilus_frugivorus,0.081002893,84,0,2
Calyptorhynchus_baudinii,0.004464286,2,4,3
Calyptorhynchus_funereus,0,0,0,2
Calyptorhynchus_lathami,,0,2,2
Calyptorhynchus_latirostris,0.002242152,1,4,3
Camarhynchus_heliobates,0.002339223,12,0,4
Camarhynchus_pallidus,0.002490449,34,0,6
Camarhynchus_parvulus,0.002039266,23,0,6
Camarhynchus_pauper,0.006076993,51,0,5
Camarhynchus_psittacula,0.003027723,39,0,6
Camaroptera_brachyura,0.075232508,224,0,3
Camaroptera_chloronota,0.072972973,81,0,2
Campephaga_flava,0,0,0,2
Campephilus_guatemalensis,0.032607245,100,0,3
Campephilus_haematogaster,0.009575316,27,6,4
Campephilus_imperialis,,0,6,3
Campephilus_magellanicus,0.003151261,3,0,2
Campephilus_principalis,0.013686919,108,0,6
Campethera_caroli,0.004158004,2,0,2
Campethera_nivosa,0.003217945,5,2,3
Campylorhamphus_procurvoides,0.025595228,4501,0,19
Campylorhamphus_pusillus,0.02071985,566,0,8
Campylorhamphus_trochilirostris,0.003149056,145,0,10
Campylorhynchus_brunneicapillus,0.003827751,12,0,3
Campylorhynchus_fasciatus,0.022799578,66,0,3
Campylorhynchus_rufinucha,0.032535885,34,0,2
Campylorhynchus_turdinus,0.0261563,82,0,3
Campylorhynchus_yucatanicus,0,0,0,2
Campylorhynchus_zonatus,0.049473684,517,0,5
Canirallus_kioloides,0.003271538,3,0,2
Capito_auratus,0.034736729,6662,0,20
Capito_dayi,0,0,0,4
Capito_maculicoronatus,0.002862595,3,0,2
Capito_niger,0.00286533,3,0,2
Capito_wallacei,0.001630812,94,0,11
Caprimulgus_climacurus,0.010752688,7,0,2
Caprimulgus_europaeus,0.06366877,497,20,7
Caprimulgus_indicus,0.187226597,214,0,2
Caprimulgus_longirostris,0.012582004,828,0,12
Caprimulgus_macrurus,0.012248469,42,0,3
Caprimulgus_manillensis,0.001749781,2,0,2
Caprimulgus_parvulus,0.000874891,1,0,2
Caprimulgus_ridgwayi,0.001749781,2,0,2
Caprimulgus_vociferus,0.006398082,20,0,3
Caprimulgus_whitelyi,0.000874891,1,0,2
Caracara_plancus,0.006893701,66,0,5
Cardellina_rubrifrons,0,0,0,2
Cardinalis_cardinalis,0.033217681,11076,150,28
Cardinalis_sinuatus,0,0,0,2
Carduelis_atrata,0.001573311,9,0,4
Carduelis_atriceps,0.01134528,30,0,3
Carduelis_barbata,0.003459741,49,0,6
Carduelis_cannabina,0.000666751,10,0,7
Carduelis_chloris,0.002548762,87,20,11
Carduelis_citrinella,0.028138528,26,0,2
Carduelis_crassirostris,0.007604432,41,0,4
Carduelis_cucullata,0.001510004,4,0,3
Carduelis_dominicensis,0.002148099,12,0,4
Carduelis_flammea,0.00435267,8,12,5
Carduelis_flavirostris,0.005290492,424,0,14
Carduelis_hornemanni,0.005411255,5,0,2
Carduelis_lawrencei,0,0,0,3
Carduelis_magellanica,0.008620878,3655,0,30
Carduelis_notata,0.006737892,18,0,3
Carduelis_olivacea,0.011929402,31,0,3
Carduelis_pinus,0.001082251,1,0,2
Carduelis_psaltria,0.003840548,21,0,4
Carduelis_siemiradzkii,0.001018346,2,0,3
Carduelis_sinica,0.001804226,23,0,6
Carduelis_spinescens,0.007020085,17,0,3
Carduelis_spinoides,0.002164502,2,0,2
Carduelis_spinus,0.013164648,548,0,10
Carduelis_tristis,0.007941118,16,56,9
Carduelis_uropygialis,0.001505033,9,0,4
Carduelis_xanthogastra,0.009459459,7,0,2
Carpodacus_cassinii,0.002609522,8,0,3
Carpodacus_edwardsii,0.001784121,2,0,2
Carpodacus_eos,0.001461088,12,10,6
Carpodacus_erythrinus,0.006169266,529,0,16
Carpodacus_mexicanus,0.0079286,58,92,12
Carpodacus_nipalensis,0.006698673,36,0,4
Carpodacus_pulcherrimus,0.020166954,2913,64,22
Carpodacus_puniceus,0,0,4,3
Carpodacus_purpureus,0.012248469,28,8,4
Carpodacus_rhodochlamys,0.006124234,7,4,3
Carpodacus_rodochroa,0.003119792,12,0,4
Carpodacus_rodopeplus,0.045053524,487,0,6
Carpodacus_roseus,0.003053039,54,10,8
Carpodacus_rubescens,0.006815969,7,0,2
Carpodacus_rubicilla,0.005758157,3,10,4
Carpodacus_rubicilloides,0.008945897,70,14,7
Carpodacus_synoicus,0.022121475,289,8,8
Carpodacus_thura,0.028669032,1061,0,11
Carpodacus_trifasciatus,0.005814413,26,0,4
Carpodacus_vinaceus,0.008824946,3929,0,33
Carpodectes_hopkei,0,0,4,3
Casmerodius_albus,0.006879696,30,28,7
Casuarius_bennetti,0.0029172,7,16,6
Casuarius_casuarius,0.003414772,110,30,16
Casuarius_unappendiculatus,0.007445323,48,0,7
